Subject,AngleToNorth,Time,Accuracy,Group
1719,0,3s,0.75,map
1719,0,Inf,0.5,map
1719,120,3s,0.25,map
1719,120,Inf,0.42857142857142855,map
1719,150,3s,0.0,map
1719,150,Inf,0.5714285714285714,map
1719,180,3s,0.6666666666666666,map
1719,180,Inf,0.75,map
1719,30,3s,0.8333333333333334,map
1719,30,Inf,1.0,map
1719,60,3s,0.8571428571428571,map
1719,60,Inf,0.4,map
1719,90,3s,0.16666666666666666,map
1719,90,Inf,0.6666666666666666,map
2096,0,3s,1.0,map
2096,0,Inf,1.0,map
2096,120,3s,0.25,map
2096,120,Inf,0.5714285714285714,map
2096,150,3s,0.3333333333333333,map
2096,150,Inf,0.42857142857142855,map
2096,180,3s,0.0,map
2096,180,Inf,0.0,map
2096,30,3s,0.8333333333333334,map
2096,30,Inf,0.6,map
2096,60,3s,0.7142857142857143,map
2096,60,Inf,0.8,map
2096,90,3s,0.3333333333333333,map
2096,90,Inf,1.0,map
2294,0,3s,0.75,map
2294,0,Inf,0.5,map
2294,120,3s,0.25,map
2294,120,Inf,0.42857142857142855,map
2294,150,3s,0.16666666666666666,map
2294,150,Inf,0.42857142857142855,map
2294,180,3s,0.3333333333333333,map
2294,180,Inf,0.5,map
2294,30,3s,0.8333333333333334,map
2294,30,Inf,0.8,map
2294,60,3s,0.5714285714285714,map
2294,60,Inf,0.4,map
2294,90,3s,0.8333333333333334,map
2294,90,Inf,0.3333333333333333,map
2299,0,3s,0.0,map
2299,0,Inf,0.5,map
2299,120,3s,0.5,map
2299,120,Inf,0.5714285714285714,map
2299,150,3s,0.16666666666666666,map
2299,150,Inf,0.42857142857142855,map
2299,180,3s,0.3333333333333333,map
2299,180,Inf,0.75,map
2299,30,3s,0.3333333333333333,map
2299,30,Inf,0.8,map
2299,60,3s,0.5714285714285714,map
2299,60,Inf,1.0,map
2299,90,3s,0.8333333333333334,map
2299,90,Inf,0.8333333333333334,map
2557,0,3s,0.5,map
2557,0,Inf,0.5,map
2557,120,3s,0.5,map
2557,120,Inf,0.5714285714285714,map
2557,150,3s,0.3333333333333333,map
2557,150,Inf,0.7142857142857143,map
